date,department_name,department_ID,department_hierarchy_id,department_type,department_url,category_name,category_ID,category_hierarchy_ID,category_type,category_url,category_legislative_ID,category_legislative_name,aisle_name,aisle_ID,aisle_hierarchy_ID,aisle_type,aisle_url,aisle_child,shelve_name,shelve_ID,shelve_hierarchy_ID,shelve_type,shelve_url
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Nibbles,,1215677638945-1215684161169-1215684161171,aisle,,,Frozen Sharing Food,11101111,1215677638945-1215684161169-1215684161171-1215685991674,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Nibbles,,1215677638945-1215684161169-1215684161171,aisle,,,Savoury Nibbles,11101112,1215677638945-1215684161169-1215684161171-1215685991697,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Sweet Treats & Snacks,,1215677638945-1215684161169-1215684161172,aisle,,,Chocolate,11101210,1215677638945-1215684161169-1215684161172-1215685991693,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Sweet Treats & Snacks,,1215677638945-1215684161169-1215684161172,aisle,,,Sweets,11101211,1215677638945-1215684161169-1215684161172-1215685991695,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Sweet Treats & Snacks,,1215677638945-1215684161169-1215684161172,aisle,,,Desserts,11101212,1215677638945-1215684161169-1215684161172-1215685991699,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Sweet Treats & Snacks,,1215677638945-1215684161169-1215684161172,aisle,,,Ice Cream,11101213,1215677638945-1215684161169-1215684161172-1215685991701,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Sweet Treats & Snacks,,1215677638945-1215684161169-1215684161172,aisle,,,Savoury Nibbles,11101214,1215677638945-1215684161169-1215684161172-1215685991697,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,"Beer, Cider & Craft Ale",11101310,1215677638945-1215684161169-1215686355714-1215685991682,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,Wine & Sparkling,11101311,1215677638945-1215684161169-1215686355714-1215685991680,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,Spirits,11101312,1215677638945-1215684161169-1215686355714-1215685991684,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,Soft Drinks & Mixers,11101313,1215677638945-1215684161169-1215686355714-1215685991686,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,Hot Chocolate,11101314,1215677638945-1215684161169-1215686355714-1215657552796,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Drinks,,1215677638945-1215684161169-1215686355714,aisle,,,Malt Drinks,11101315,1215677638945-1215684161169-1215686355714-1215657555610,shelf,
